"Source Url","P"
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","May 14, 2020"
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","British officials gave a coronavirus press briefing on May 14. It was led by British politician Grant Shapps. Read the full speech transcript here."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Follow Rev Transcripts"
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (16:03);Good afternoon, and welcome to today’s Downing Street Press Conference. I’m pleased to be joined today by Professor Jonathan Bantam. Let me start by updating you on the latest information from the Government’s Cobra data file."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (16:13);Through our monitoring and testing program, as of today, 2,219,281 tests for Coronavirus have now being carried out in the UK. Including a new record of 126,064 tests carried out yesterday. 233,151 people have tested positive, that’s an increase of 3,446 cases since yesterday. 11,041 people are in hospital with COVID-19, that’s down 14% from a week ago. And sadly, of those tested positive for Coronavirus 33,614 have now died. That’s an increase of 428 fatalities since yesterday. This new figure does include all deaths in all settings, not just in hospitals. Our deepest sympathies go out to the families and friends as this Nation battles to defeat the disease."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (17:21);Today, I’m going to set out how, whilst the country has been a virtual standstill, this downtime has been used to fix and upgrade the Nation’s road and rail infrastructure along with plans to help our economy bounce back."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (17:36);But before I set out today’s transport announcements, let me briefly remind you of the Government’s Roadmap out of this crisis."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (17:44);Can I have the first slide, please? As you know, we’ve established a new COVID alert system with five levels based primarily on the R value and the number of cases. Throughout the lockdown, we’ve been at Level 4. Thanks to the British people, we’ve brought the R down and we can now begin moving carefully to Level 3."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (18:09);Can I have slide two? From this week, we’re at Step 1, that slide. Meaning that those who cannot work from home should now speak to their employer about going back to work. You can now spend time outdoors and exercise as much as you like. You can meet one person who’s not part of your household outside provided you do stay two meters apart."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (18:33);Step 2. From June the 1st at the earliest, and as long as it’s safe, we aim to allow primary schools to reopen for some pupils in smaller class sizes, non-essential retail to start to reopen, and cultural and sporting events to take place behind closed doors and without crowds."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (18:53);And then, on Step 3, no earlier than July the fourth. And again, only if the data says it’s safe to do so, we aim to allow more businesses to open, including-"
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (19:03);… we aim to allow more businesses to open, including those offering personal care, those in the leisure sector, together with places of worship."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (19:10);Next slide, please."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (19:12);We can control this virus if we stay alert. But what does staying alert actually mean? Staying alert for the vast majority of people still means staying at home as much as possible, and working from home if you can."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (19:27);But it also means limiting contact with other people, keeping your distance if you go out. Washing your hands regularly, wearing a face covering in enclosed spaces where it’s difficult to be socially distant, for example, on public transport. And if you or anyone in your household has symptoms, you all need to self isolate."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (19:51);Today, I want to update you on the measures we’re taking to speed up our economic recovery while keeping people safe. For two months, we’ve remained locked down, traveling as little as possible. In doing so, the whole country has protected the NHS, and helped reduce the number of COVID infections."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (20:12);But as we begin making tentative steps towards restarting our economy, and people in some sectors who can’t work from home are beginning to return to workplaces, it is clear that transport has a critical role to play."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (20:29);Last Saturday, I explained why it’s our civic duty to avoid public transport if at all possible. Because even when we have 100% of the services up and running, there may only be socially distant space available for one in 10 passengers."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (20:46);Therefore, in order to help reduce crowding, we set out a £2 billion program to put cycling and walking at the heart of transport, with £250 million of that emergency money spending already underway."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (21:02);Over the past week, we followed this up by publishing three pieces of detailed guidance. First, for local authorities in England, explaining how they should prepare for significantly increased numbers of both cyclists and pedestrians."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (21:18);Next, for the transport sector, to ensure that they provide safer services for those traveling, and safer workplaces for their staff."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (21:27);Third, and most importantly, for passengers: We’re asking the public to help ensure that the transport system does not become significantly overwhelmed by returning commuters. The guidance makes it clear that if you can’t walk or cycle, but you do have access to a car, please use it rather than traveling by bus, train, or tram, especially where the public transport is liable to be overcrowded."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (21:55);For those people who absolutely need to use public transport, it also explains how you can best protect yourself and those around you."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (22:05);In the coming weeks, as we carefully and cautiously restart sectors of our economy, and people begin to travel once again, they should notice that whilst the country has been in downtime with the roads and railways quite quiet, that we have been busy getting on with essential work, fixing the nation’s infrastructure. So we can recover faster when the time comes. This upgrade program, the kind of work that at any other time, would cause inevitable disruption and service delays whilst costing the taxpayer more, has instead carried out in previously unimaginable circumstances of a largely unused transport network."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (22:48);For example, we’ve completed 419 separate network rail projects over Easter, with a further 1,000 upgrades being carried out throughout the May bank holiday. Meanwhile, Highways England has been busy accelerating maintenance projects on the nation’s roads."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (23:07);Last week, for example, we opened the vital A14 upgrade seven months ahead of schedule. This is a route normally used by 85,000 drivers daily, which will dramatically improve access to the UK’s largest container port of Felixstowe, and permanently boost the distribution of goods around the UK. As Northern Powerhouse minister. I can report that in the North we’ve delivered £96 million of rail infrastructure improvements during April. And throughout the country, we’ve accelerated maintenance projects on road and rail whilst always sticking to Public Health England safety guidelines."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (23:49);So that altogether, Highways England has delivered over £200 million of upgrades. Network Rail has delivered £550 million worth during April alone. I’d like to thank the army of transport and construction workers who’ve been grafting very hard throughout this lockdown."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (24:10);But to make sure that Britain is ready to bounce back from coronavirus, today I can announce nearly £2 billion to upgrade our roads and our railways, to put our transport infrastructure in the best possible shape, and to get our economy growing once again."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-may-14","Grant Shapps: (24:28);This package includes £1.7 billion for local roads, making journeys smoother and safer for drivers, hauliers, cyclists, motorcyclists, pedestrians, and others. By filling millions of dangerous potholes, we can make our roads safer and encourage more people to cycle, or even take part in the upcoming e-scooter trials, helping more people play our part in relieving public pressure on public transport. This investment will help fix damage caused by the winter flooding, repair roads and bridges, and fund numerous road improvement schemes."
